arrival_rate,bp_parameter,Rdynamic_sqrt_2_L2,Rdynamic_sqrt_6_L2,Rdynamic_sqrt_8_L2,Rdynamic_sqrt_10_L2,Dynamic_L2,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,Rdynamic_sqrt_2_status,Rdynamic_sqrt_6_status,Rdynamic_sqrt_8_status,Rdynamic_sqrt_10_status,Dynamic_status,RMLF/FCFS_ratio,Rdynamic_sqrt_2/RR_ratio,Rdynamic_sqrt_2/SRPT_ratio,Rdynamic_sqrt_2/SETF_ratio,Rdynamic_sqrt_2/FCFS_ratio,Rdynamic_sqrt_2/RMLF_ratio,Rdynamic_sqrt_2/Dynamic_ratio,Rdynamic_sqrt_6/RR_ratio,Rdynamic_sqrt_6/SRPT_ratio,Rdynamic_sqrt_6/SETF_ratio,Rdynamic_sqrt_6/FCFS_ratio,Rdynamic_sqrt_6/RMLF_ratio,Rdynamic_sqrt_6/Dynamic_ratio,Rdynamic_sqrt_8/RR_ratio,Rdynamic_sqrt_8/SRPT_ratio,Rdynamic_sqrt_8/SETF_ratio,Rdynamic_sqrt_8/FCFS_ratio,Rdynamic_sqrt_8/RMLF_ratio,Rdynamic_sqrt_8/Dynamic_ratio,Rdynamic_sqrt_10/RR_ratio,Rdynamic_sqrt_10/SRPT_ratio,Rdynamic_sqrt_10/SETF_ratio,Rdynamic_sqrt_10/FCFS_ratio,Rdynamic_sqrt_10/RMLF_ratio,Rdynamic_sqrt_10/Dynamic_ratio,Dynamic/SRPT_ratio,Rdynamic_sqrt_2/Rdynamic_sqrt_6_ratio,Rdynamic_sqrt_2/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_2/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_8/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_2_checkpoint,Rdynamic_sqrt_6_checkpoint,Rdynamic_sqrt_8_checkpoint,Rdynamic_sqrt_10_checkpoint,Dynamic_checkpoint,run_timestamp
20.0,"{'L': 32.3, 'H': 512}",41129919.26929758,41179202.28395648,40987635.04229088,40986331.611450456,28026114.23708365,45897585.1088962,28026114.23708365,50105021.65977825,40985465.394451424,47244014.31135373,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,1.1527016676928985,0.896123819406034,1.4675569692381831,0.8208741939795342,1.003524514689681,0.8705847686489502,1.4675569692381831,0.897197579921799,1.469315436867409,0.8218577882985536,1.0047269657094409,0.8716279275628839,1.469315436867409,0.8930237820801241,1.462480124628079,0.8180344740813404,1.0000529370062916,0.8675730807329106,1.462480124628079,0.8929953833999469,1.4624336169021277,0.8180084601051513,1.0000211347361971,0.8675454913999673,1.4624336169021277,1.0,0.9988032061835714,1.0034713939181876,1.0035033059120375,1.00467378128716,1.0047057315188497,1.000031801597976,100,100,100,100,100,20250509052328
20.0,"{'L': 19.7, 'H': 4096}",41834718.481129535,41593790.94323827,41357048.73609563,41315631.13699669,18162642.24926949,29081680.49118785,18162642.24926949,42971008.29467155,41285073.16704784,29749341.85473208,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.7205834838746722,1.4385247954913072,2.3033387932756395,0.973556826831943,1.01331341504126,1.4062401341653576,2.3033387932756395,1.4302402832546683,2.2900737884054947,0.967950080622054,1.0074777093149694,1.3981415503691943,2.2900737884054947,1.422099687417561,2.2770392197621483,0.962440733354259,1.001743379956154,1.3901836530718803,2.2770392197621483,1.4206755056509166,2.274758846756365,0.9614768835228816,1.0007401699356375,1.3887914340674672,2.274758846756365,1.0,1.0057923919033984,1.011549899222306,1.0125639456507785,1.0057243496423869,1.0067325561436842,1.0010024680238236,100,100,100,100,100,20250509052328
20.0,"{'L': 15.3, 'H': 32768}",43760856.31493074,24771731.254322376,44346888.17435247,44100189.9120181,13201130.692269772,20880989.752056032,13201130.692269772,40290977.17740805,41702256.822292425,21719314.02246956,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.5208186721170268,2.09572711037904,3.314932435337219,1.08612050093112,1.0493642226944866,2.0148360242712204,3.314932435337219,1.1863293621837654,1.876485570196501,0.6148208107549294,0.5940141647461238,1.1405393019639092,1.876485570196501,2.1237924399625685,3.3593249857242014,1.100665490913401,1.0634169839615568,2.041818085436479,3.3593249857242014,2.1119779491140167,3.3406373241832976,1.0945425750742517,1.0575012786464792,2.0304596114957665,3.3406373241832976,1.0,1.7665643093594836,0.9867852766327662,0.9923053937462778,0.5585900674006893,0.5617148430368013,1.005594040815392,100,100,100,100,100,20250509052328
20.0,"{'L': 13.0, 'H': 262144}",24750907.248638805,18512197.657318432,27891739.30755816,27583235.327533044,10300696.585705502,16147013.26441367,10300696.585705502,28561269.07777401,33960811.901972175,16832040.513818163,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.4956312753182644,1.532847396811596,2.4028382005723934,0.8665898977122002,0.7288078777410345,1.4704638589908154,2.4028382005723934,1.1464781352547335,1.797179200774461,0.6481573912877832,0.5451046845038292,1.0998189816689754,1.797179200774461,1.7273621350784816,2.707752730651646,0.9765581225262546,0.8212918874868957,1.6570622726733937,2.707752730651646,1.7082561880545186,2.67780291342732,0.9657566424104712,0.812207770743291,1.6387338959224076,2.67780291342732,1.0,1.33700534678842,0.8873920330214672,0.8973170461962791,0.6637161438082837,0.6711394598022343,1.0111844740604876,100,100,100,100,100,20250509052328
22.0,"{'L': 32.3, 'H': 512}",40199497.72492158,40233544.772256136,40086863.18547666,40085080.96217896,27610861.210464988,45240340.43637347,27610861.210464988,49321694.33951579,40083682.355507046,46598755.79650999,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,1.1625367994691695,0.888576375358152,1.4559305998642766,0.8150469740191864,1.002889339566843,0.8626731988396205,1.4559305998642766,0.8893289569480816,1.4571637032823497,0.8157372797313176,1.0037387387570815,0.8634038416808851,1.4571637032823497,0.8860866827882359,1.4518512436071012,0.8127633026864545,1.0000793547344629,0.8602560841008327,1.4518512436071012,0.8860472882284136,1.4517866957002423,0.8127271680134355,1.0000348921703228,0.8602178379445301,1.4517866957002423,1.0,0.9991537646626146,1.0028097618644731,1.0028543478021303,1.0036590936562135,1.0037037173560222,1.0000444610127988,100,100,100,100,100,20250509082227
22.0,"{'L': 19.7, 'H': 4096}",37153414.050192855,36894235.33118385,36653736.222726025,36612543.75767268,16849976.97899285,26925946.642239023,16849976.97899285,39109160.41894629,36580587.43631796,27902660.117158525,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.7627723356201818,1.3798368742181897,2.204953401213108,0.9499926271031384,1.0156593060423678,1.3315366310664285,2.204953401213108,1.3702112620734184,2.189571853847665,0.9433655679632176,1.0085741623316442,1.3222479568711811,2.189571853847665,1.3612793900893687,2.1752988902253607,0.9372161363241452,1.0019996613377358,1.3136287389382668,2.1752988902253607,1.359749547309813,2.172854230205665,0.9361628673556456,1.0008735868829433,1.312152447255668,2.172854230205665,1.0,1.007024910983585,1.0136323845523016,1.0147728138230443,1.00656138045509,1.0076938541985938,1.0011250915895378,100,100,100,100,100,20250509082227
22.0,"{'L': 15.3, 'H': 32768}",44370074.45029945,23593880.063452896,45217081.05013474,45192438.0908238,12731451.702862209,20094479.25778919,12731451.702862209,36648988.38274472,42458545.5376341,20847273.424333047,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.4910030044683135,2.20807286822824,3.4850758174202894,1.2106766491592988,1.0450210643925857,2.128339449825149,3.4850758174202903,1.1741473745485211,1.853196368655168,0.6437798450819313,0.5556921407620976,1.1317489622366632,1.853196368655168,2.250224077471792,3.55160449141627,1.2337879719327831,1.0649700897091623,2.168968580675741,3.5516044914162705,2.248997722760391,3.549668894448534,1.2331155670343563,1.0643896892503408,2.167786509581389,3.5496688944485344,1.0,1.880575570061876,0.9812679947452564,0.9818030698217336,0.5217913123868616,0.5220758396799922,1.0005452894411542,100,100,100,100,100,20250509082227
22.0,"{'L': 13.0, 'H': 262144}",23538406.55329791,17044779.519902978,28856245.5881471,28760228.09768828,9585393.631014587,15001824.841881838,9585393.631014587,27074850.832317896,41466463.49461864,15825100.627658833,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.3816361293919496,1.5690362206858854,2.455653618348737,0.8693826865040856,0.5676492415696998,1.4874095973935166,2.455653618348737,1.1361804113535343,1.778203397380858,0.6295428782033206,0.4110497516171106,1.0770724256951902,1.778203397380858,1.9235156984093515,3.010439289084548,1.0657951826535217,0.6958935765499258,1.823447841950064,3.010439289084548,1.9171153110250927,3.000422226232986,1.0622488107435342,0.6935780308687445,1.8173804245782583,3.000422226232986,1.0,1.380974539788702,0.8157127191545137,0.8184360177306769,0.5906790426993122,0.5926510548528308,1.0033385510759056,100,100,100,100,100,20250509082227
24.0,"{'L': 32.3, 'H': 512}",38578810.47554698,38619971.72228619,38471953.42145756,38470547.85179412,26650391.170659464,43582553.20974997,26650391.170659464,48087399.79998955,38469508.534148246,45267933.30578115,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,1.1767224233082714,0.8851893162357549,1.4475889013599177,0.8022644317640015,1.0028412617047526,0.8522326436895252,1.4475889013599177,0.8861337594523125,1.4491333907625543,0.8031203991673216,1.003911232398625,0.8531419241389147,1.4491333907625543,0.8827374852570798,1.4435793146560998,0.8000422892789874,1.000063553900283,0.8498720973538308,1.4435793146560998,0.8827052345154429,1.4435265736042164,0.8000130597995543,1.000027016660349,0.8498410473464459,1.4435265736042164,1.0,0.9989341979058092,1.0027775312815237,1.002814169014955,1.0038474339789063,1.0038841108025731,1.000036536252846,100,100,100,100,100,20250509112503
24.0,"{'L': 19.7, 'H': 4096}",37854007.93539837,37613930.93832356,37423229.15410552,37337832.71982054,16302713.027407248,26025423.50748312,16302713.027407248,37697928.95861679,37268664.88992324,27046601.22537593,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.7257196174121289,1.454501131346207,2.321945302708834,1.0041402533532522,1.0157060374232347,1.39958465094988,2.321945302708834,1.4452764208624072,2.307219103660172,0.9977718133962892,1.0092642451619906,1.3907082307640577,2.307219103660172,1.437948901901449,2.29552155467569,0.9927131327343516,1.0041472981293749,1.383657371300092,2.29552155467569,1.4346676321745444,2.2902833814868835,0.9904478508834914,1.0018559245441605,1.380499989950274,2.2902833814868835,1.0,1.0063826617182998,1.0115109997461456,1.013824455732371,1.0050958131761627,1.0073945968041271,1.0022871288466522,100,100,100,100,100,20250509112503
24.0,"{'L': 15.3, 'H': 32768}",43021740.46193936,21885664.923506003,43100178.94532341,42913760.3592699,11870640.550019952,18732854.60840982,11870640.550019952,31818705.468115088,40814064.58051615,19519988.44124576,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.4782662212614871,2.2965928771275164,3.624213898201732,1.3520895909813369,1.0540910567010056,2.2039839107196584,3.6242138982017313,1.1683037839668482,1.8436801983250364,0.687823863401269,0.536228507217921,1.121192514502804,1.843680198325036,2.3007800917845307,3.630821669960428,1.354554759888433,1.0560129060485342,2.2080022780265933,3.6308216699604254,2.290828667404724,3.615117497530306,1.3486959864622072,1.0514453975690552,2.1984521398892363,3.6151174975303055,1.0000000000000002,1.9657497550249177,0.9981800891480392,1.0025162116245572,0.5077859410112893,0.5099917774690753,1.004344028220618,100,100,100,100,100,20250509112503
24.0,"{'L': 13.0, 'H': 262144}",16949402.803111885,16243382.617136275,37486802.67659512,27424526.467679035,9079041.088244066,14112490.54623028,9079041.088244066,26826105.09397775,34671427.22417209,15103976.435043488,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.4356318053302794,1.2010213751845098,1.8668714722591908,0.6318249609376537,0.4888579490403892,1.1221814914770876,1.8668714722591908,1.150993339122215,1.7891077327724525,0.6055065601298486,0.4684947784846819,1.0754374973367409,1.7891077327724525,2.656285405739993,4.128938542324106,1.3974001274232917,1.0812016025247504,2.481916125717736,4.128938542324106,1.943280413747002,3.020641299133396,1.0223074267250083,0.7909834888065788,1.815715655120464,3.020641299133396,1.0,1.043465096071232,0.452143196882839,0.6180381208436716,0.4333093637585109,0.5922940050133515,1.366907928958223,100,100,100,100,100,20250509112503
26.0,"{'L': 32.3, 'H': 512}",37856696.94770113,37878749.35549395,37752517.246387295,37750239.95137781,26067476.235601883,42630392.62567115,26067476.235601883,46808139.22232168,37748075.24582822,44398984.61642322,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,1.1761920131631092,0.8880213063040052,1.4522578482683342,0.8087631248893605,1.0028775427929908,0.8526478088352026,1.4522578482683342,0.8885385994001881,1.4531038222933417,0.8092342482486566,1.0034617423223495,0.8531444960451319,1.4531038222933417,0.885577516911104,1.4482613086581226,0.8065374499737435,1.0001176748888558,0.8503013655051609,1.4482613086581226,0.8855240973934964,1.448173947112689,0.8064887982852269,1.0000573461172657,0.8502500739040317,1.448173947112689,1.0,0.9994178158421796,1.0027595431751986,1.00282003495767,1.0033436739670314,1.0034042009873754,1.000060325312168,100,100,100,100,100,20250509142545
26.0,"{'L': 19.7, 'H': 4096}",37619507.21356158,37368785.20991299,37175488.904923886,37066979.38398729,16359609.971187484,25902962.164537128,16359609.971187484,36935088.58728393,37014392.96283078,27353256.618675187,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.7389897396437882,1.452324524685643,2.299535702857036,1.018530309590574,1.0163480798223123,1.375320962253438,2.299535702857036,1.4426452454566503,2.2842100316405363,1.0117421302944531,1.00957444439081,1.3661548871807752,2.284210031640536,1.4351829211185585,2.272394572388785,1.0065087245444626,1.004352251359488,1.3590882220416365,2.2723945723887846,1.430993843427469,2.265761802956769,1.003570880746412,1.001420701974211,1.3551212530459773,2.265761802956769,1.0000000000000002,1.006709396686036,1.0119438458435144,1.0149062005795102,1.0051995632252062,1.008142174812768,1.0029273904359055,100,100,100,100,100,20250509142545
