frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,38718764.88116357,1145220
4,36507568.42180846,1066700
8,36970814.42187735,1098031
16,39395030.237701274,1089818
32,36997999.49516867,1082257
64,39916866.13499859,1138742
128,37912042.35199836,1121072
256,40815470.67191032,1114714
512,40173765.27935246,1172101
1024,47579513.294206806,1249074
2048,42247338.622500174,1155543
4096,38866212.70463899,1073551
8192,45588954.29957205,1185033
16384,49544676.59110189,1113521
32768,53096290.62875449,1281257
65536,53828166.537299596,1368150
