frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,38017416.22970063,1135214
4,39383027.10917256,1140057
8,38850148.01022224,1142306
16,41150238.029658094,1156048
32,39798102.91605605,1148715
64,37986658.276131146,1067680
128,39604335.48476838,1112952
256,39772465.584017985,1105833
512,38626059.605042785,1068390
1024,43033408.724003136,1174408
2048,53039829.64592327,1423127
4096,42996251.82658534,1061541
8192,56626240.10793431,1412034
16384,25314441.73747367,1017914
32768,54295822.276084,1241381
65536,25921619.98745148,807421
