frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,38542168.150163464,1135147
4,42229663.822247386,1173038
8,37416361.19198826,1047874
16,51082638.23313403,1288723
32,43594347.57099372,1165706
64,43068907.77666397,1251796
128,40373870.808347024,1188976
256,41433045.89774789,1184737
512,41265971.292138636,1122358
1024,44890674.19335227,1204446
2048,47374338.0503633,1179818
4096,37416308.57519924,1191119
8192,33798648.723389626,1061550
16384,44512011.60314537,1294933
32768,38449325.589723095,1122916
65536,53451760.799142756,1085123
