frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,35001404.621534646,1148319
4,40487369.20246559,1216074
8,41972820.40690005,1171849
16,39373330.065926515,1156027
32,37607887.427021,1106026
64,39871294.74423426,1113771
128,39181003.305662416,1126276
256,43273956.59112159,1138039
512,45661235.15327384,1210700
1024,41987699.61218276,1075171
2048,44307255.38730429,1208047
4096,45982360.10906239,1236712
8192,36649662.9353096,1109396
16384,27057028.030354332,1023519
32768,35185397.53976204,1191097
65536,76228105.11182761,1218890
