frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,39289704.17211057,1209796
4,42962003.59079263,1216236
8,40859168.541447684,1164188
16,39993077.49923763,1134880
32,38320385.64883438,1055521
64,41084303.508496344,1090281
128,42146804.02950358,1157127
256,45811514.59757742,1289120
512,46895808.226296134,1278422
1024,39090938.17473495,1098865
2048,36577614.00225356,1051179
4096,47202550.03538636,1214454
8192,37453388.59113976,1063490
16384,35747498.068820424,1094983
32768,32493139.890365228,939575
65536,63930800.82583077,1513635
