frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,40992971.614148356,1192980
4,36529124.65558779,1290492
8,42811081.51114559,1179946
16,43603890.453939885,1257355
32,39511074.48909593,1127497
64,40423490.35207281,1092254
128,46575738.54019077,1235743
256,40610098.95149721,1155813
512,42340240.13294249,1164892
1024,40292177.26394851,1111347
2048,36942261.4934967,1276179
4096,45710003.12119449,1191769
8192,46189036.11664864,1156480
16384,42788013.754712865,1154238
32768,47926658.18003447,1127000
65536,37057815.583611816,972626
