frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,39494752.76340497,1201244
4,37908548.16191566,1100753
8,46729546.4962278,1259690
16,40799997.74211561,1122621
32,40348699.76516883,1228211
64,43113056.7025214,1197605
128,45438692.78312871,1194511
256,48890349.69062568,1316573
512,41114726.76697309,1125365
1024,43638908.57536464,1139545
2048,45862711.0927784,1134890
4096,39558716.56097988,1049795
8192,33418038.33954843,1064606
16384,43031571.04460865,1206707
32768,40218202.99843567,1252079
65536,19528257.10951269,655496
