frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,37068010.372131005,1070072
4,37508222.63955121,1096949
8,37110099.7495147,1068487
16,38284996.407627076,1090056
32,40529395.46876648,1124612
64,40869157.23841145,1192811
128,41748594.84745625,1205668
256,40359089.24216486,1105290
512,41571800.02762232,1060959
1024,42016657.67348517,1180101
2048,45422904.20068016,1128702
4096,38178545.014115706,1042080
8192,46762512.389281206,1175919
16384,40933679.3578892,1125603
32768,46555652.03279616,1255259
65536,10492872.738449227,689301
