frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,40775572.62047129,1182284
4,35867841.76516245,1115676
8,41253586.88220612,1174464
16,40733800.634233914,1109956
32,37469412.22606624,1082688
64,39253696.050053984,1094987
128,44022598.14238534,1161880
256,40990842.7929734,1133322
512,40958472.46492209,1101523
1024,39329161.63074015,1121091
2048,44270415.63623945,1128544
4096,48079730.94018075,1249265
8192,36285918.22110332,1064299
16384,40649978.31423124,1133188
32768,66327018.05801372,1418621
65536,50596138.1907239,1172586
