frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,582747.890218,320374.000000,60.621778
4,228230.179624,181999.000000,69.224273
8,356870.440971,160124.000000,140.260472
16,247701.379988,148401.000000,116.331423
32,264454.217745,116893.000000,370.074317
64,404457.960812,246883.000000,388.416014
128,404767.655315,208437.000000,3605.822236
256,305254.537024,215183.000000,1667.800048
512,233581.308499,85814.000000,3045.024302
1024,438956.967518,204879.000000,46848.864575
2048,511419.392464,253652.000000,10519.261191
4096,219132.797153,79473.000000,119611.126280
8192,958564.906712,334136.000000,377354.471414
16384,453249.356229,81339.000000,314564.943694
32768,1084959.747753,278115.000000,109296.884141
65536,762540.092743,247019.000000,732810.706001
