frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,125941.752052,45978.000000,85.988371
4,134970.714090,64788.000000,1283.186269
8,372992.780683,239251.000000,59.682493
16,498074.583844,429900.000000,1567.186013
32,162933.674619,137105.000000,203.383874
64,496006.554218,228574.000000,114.507642
128,188970.237723,86978.000000,520.776344
256,656373.398180,269212.000000,33529.232962
512,489874.289483,262789.000000,259560.399033
1024,249141.715473,129721.000000,52563.376100
2048,347301.726450,127403.000000,178854.929597
4096,220028.543126,65543.000000,5673.930560
8192,373786.183659,165433.000000,89494.108231
16384,518680.287836,199523.000000,145854.201640
32768,854302.953939,218357.000000,745836.161397
65536,4968001.883130,190380.000000,4263686.149376
