frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,314512.310536,152833.000000,0.000000
4,188399.891826,87069.000000,0.000000
8,86796.663853,37662.000000,0.000000
16,196515.114126,79551.000000,0.000000
32,192517.306773,106226.000000,0.000000
64,606252.780863,314578.000000,0.000000
128,190502.274837,164454.000000,0.000000
256,376960.898332,191488.000000,0.000000
512,421297.734803,231441.000000,0.000000
1024,289975.862432,144398.000000,0.000000
2048,191400.679842,102870.000000,0.000000
4096,649698.577580,192739.000000,0.000000
8192,408669.507169,245734.000000,0.000000
16384,303579.930099,120216.000000,0.000000
32768,500336.000545,125473.000000,0.000000
65536,370244.813872,94543.000000,0.000000
