frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,484639.688936,225743.000000,52.134442
4,137449.569355,57476.000000,209.071758
8,690895.016954,317025.000000,1352.332799
16,279967.816779,154516.000000,169.481562
32,261185.203331,113017.000000,2010.502673
64,472185.548506,271928.000000,223.602326
128,1001666.667037,287282.000000,159176.294642
256,320127.085093,173073.000000,10079.420420
512,455473.599760,278043.000000,129361.714193
1024,249586.670756,98505.000000,27863.743754
2048,596698.467004,262116.000000,53318.362259
4096,709581.207171,301919.000000,232669.655493
8192,848081.481877,278244.000000,190690.825021
16384,330020.793615,89696.000000,219384.698042
32768,595306.792940,161781.000000,455769.592641
65536,615516.656554,248122.000000,534319.694295
