frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,572215.038051,217390.000000,0.000000
4,431232.679001,181380.000000,0.000000
8,618072.499308,167497.000000,0.000000
16,800063.124890,240519.000000,0.000000
32,673208.096235,292189.000000,0.000000
64,1073580.119797,264570.000000,0.000000
128,673879.729545,291993.000000,0.000000
256,1885292.020586,310463.000000,0.000000
512,791160.317335,276307.000000,0.000000
1024,1100326.739434,273428.000000,0.000000
2048,1375435.611922,300248.000000,0.000000
4096,1464115.100199,289009.000000,0.000000
8192,2019905.945783,299747.000000,0.000000
16384,3017463.195563,200584.000000,0.000000
32768,668123.311545,174541.000000,0.000000
65536,2262682.095020,319686.000000,0.000000
