frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,222573.291093,197437.000000,146.928554
4,129477.748922,48391.000000,830.300548
8,444944.369762,278343.000000,35.860842
16,390692.545488,296753.000000,129.038754
32,432566.097376,320060.000000,426.117355
64,548965.300259,226148.000000,155.438091
128,343120.379135,166444.000000,1033.285537
256,440457.969619,267923.000000,2361.390692
512,494496.225966,268236.000000,8100.924453
1024,218371.913798,103604.000000,5413.471622
2048,370360.029146,206901.000000,23365.572666
4096,906946.054161,353338.000000,10822.953017
8192,684940.586004,256486.000000,197257.792112
16384,258218.283299,112762.000000,64205.719192
32768,274059.704320,122108.000000,151311.371090
65536,147183.878665,103204.000000,0.000000
