frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,76634.638493,45433.000000,34.146742
4,273524.819473,253375.000000,1522.575778
8,456490.967974,283606.000000,105.494076
16,293933.073469,225249.000000,83.210576
32,364963.328362,227962.000000,325.192251
64,270297.375300,200596.000000,207.559630
128,576863.350277,227246.000000,230.917734
256,353881.568679,171316.000000,2511.849518
512,327345.249122,152905.000000,6944.225227
1024,189537.625755,120365.000000,728.964334
2048,533643.801276,238943.000000,97476.253000
4096,707660.916420,442577.000000,21941.253132
8192,556504.366182,253661.000000,57388.196888
16384,897060.092172,258897.000000,339400.069128
32768,409176.661439,210622.000000,310526.879669
65536,329208.856395,101507.000000,314524.598889
