frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,1081304.923695,331504.000000,0.000000
4,649070.692613,270689.000000,0.000000
8,154589.960576,64044.000000,0.000000
16,196771.814285,118439.000000,0.000000
32,279617.566794,177539.000000,0.000000
64,850713.260289,297998.000000,0.000000
128,877557.745477,294960.000000,0.000000
256,273623.503755,157222.000000,0.000000
512,311483.968010,132811.000000,0.000000
1024,313889.866229,124509.000000,0.000000
2048,1156443.002456,284814.000000,0.000000
4096,1137812.488070,314629.000000,0.000000
8192,289184.105595,186152.000000,0.000000
16384,1330646.598757,298559.000000,0.000000
32768,840610.245525,243833.000000,0.000000
65536,1222183.693085,176739.000000,0.000000
