frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,1352178.763139,32937.000000,31430.682271
4,1011791.433372,29162.000000,38531.169331
8,750590.055959,21630.000000,7465.522219
16,1074834.051903,28864.000000,1045.961758
32,1044130.843689,36243.000000,71352.734447
64,1317830.852371,38623.000000,602.413479
128,1661094.281203,57466.000000,70372.357137
256,1683698.192779,52881.000000,23872.616593
512,2805928.261831,72576.000000,197125.563738
1024,1763539.923841,52906.000000,137578.584427
2048,2254028.782008,62438.000000,114292.055341
4096,2244322.204213,72082.000000,562069.368372
8192,1521051.953443,38044.000000,647433.335864
16384,4538418.505503,109801.000000,2112286.907052
32768,3180696.867615,90228.000000,506315.327453
65536,5132274.729130,115186.000000,3545554.002827
