frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,962082.320833,37908.000000,17501.425371
4,914611.389793,37808.000000,14893.074162
8,966817.356455,34435.000000,1212.518453
16,1521680.169063,58173.000000,48759.842791
32,2117640.208836,81491.000000,91115.694186
64,1471120.100705,57185.000000,109691.980450
128,2289334.520781,78070.000000,69592.254318
256,2650119.728441,91060.000000,113347.016873
512,2411969.382331,91195.000000,185081.034042
1024,2314354.533113,91307.000000,436019.049990
2048,2056857.193417,75194.000000,45887.234020
4096,2359247.959093,94520.000000,253565.967362
8192,1744363.111030,66135.000000,821991.353136
16384,2074786.049298,71784.000000,376551.054837
32768,2024282.124323,73699.000000,1222452.660452
65536,7787810.764412,230578.000000,6201332.395824
