frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,993788.009210,35098.000000,42649.542964
4,1431419.878319,53309.000000,19577.000000
8,1637012.182713,58177.000000,54503.134479
16,1371191.604116,52415.000000,45044.611598
32,1622472.028601,59780.000000,40468.616841
64,2232691.291311,78442.000000,107339.284090
128,1556487.079632,55085.000000,35781.764839
256,1714401.137122,58563.000000,177364.726614
512,1694107.145160,57872.000000,248248.741193
1024,3297626.026031,113664.000000,613228.251997
2048,1227962.997024,51676.000000,557639.143604
4096,2738016.066362,92524.000000,796905.265443
8192,1223774.270100,54171.000000,1085984.301769
16384,4910667.758328,135192.000000,1545269.258673
32768,3687870.301385,111089.000000,2359030.733571
65536,4319650.593672,140572.000000,2851279.624595
