frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,760512.741466,29596.000000,6911.858940
4,987094.445560,39346.000000,4478.895511
8,925264.130816,30187.000000,34879.325395
16,1758036.801316,57767.000000,63395.446311
32,1160532.454569,38038.000000,43837.167586
64,1485821.237740,56119.000000,4658.873147
128,2255787.819030,77503.000000,195277.593948
256,2610894.116625,88029.000000,331886.985733
512,2043167.587948,76117.000000,245683.830017
1024,1094979.070436,43801.000000,178075.223156
2048,2054021.609825,72976.000000,384560.433580
4096,793878.604612,28176.000000,354354.550075
8192,1048732.907074,50226.000000,511860.041229
16384,2954818.766298,80953.000000,863937.947967
32768,1822555.444974,63664.000000,1085785.833440
65536,8295330.953481,208407.000000,8295330.953481
