frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,1169848.821050,34409.000000,985.000000
4,1239754.474638,35323.000000,35698.358029
8,260573.605950,9730.000000,9412.305350
16,1084473.300497,30250.000000,40967.309284
32,1205488.775058,36569.000000,23042.181494
64,1778342.677454,47756.000000,110813.197463
128,1625464.447762,48738.000000,7037.275751
256,1835864.859034,52467.000000,104577.689255
512,2706651.610684,82713.000000,395830.154314
1024,2508524.509909,66247.000000,465001.036575
2048,2236742.991732,52256.000000,418569.931925
4096,1766511.891091,40495.000000,554385.700068
8192,2153478.809035,63691.000000,724648.945302
16384,5003595.218203,112608.000000,1381233.884246
32768,2205605.815686,62453.000000,1025018.133787
65536,431984.895408,18200.000000,0.000000
