frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,982487.462173,39491.000000,16477.368540
4,1252780.616962,50814.000000,33233.149836
8,1029560.078264,39437.000000,14554.901958
16,1752032.829207,62625.000000,34202.828728
32,1486897.398707,46710.000000,49488.616307
64,1847264.382840,62389.000000,98488.090341
128,1192742.965107,44335.000000,43037.125380
256,2278003.397461,79228.000000,279708.513966
512,2684647.423998,86611.000000,333279.286706
1024,2685784.219993,91491.000000,478308.982636
2048,3315350.638525,127832.000000,201047.327911
4096,1595431.829408,56930.000000,253608.455661
8192,2973404.025645,98663.000000,878389.620989
16384,1619206.956392,64115.000000,556579.228159
32768,3000630.681827,95409.000000,1816154.967089
65536,7961097.262869,220801.000000,6419778.379418
