frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,945607.924962,25385.000000,28656.957305
4,930415.280374,35962.000000,36909.624395
8,776874.377952,24630.000000,24323.799045
16,1682413.188933,52949.000000,64080.434081
32,1339512.236476,48126.000000,70261.329578
64,1322074.386077,37793.000000,2773.915644
128,2293325.481380,65196.000000,114128.699283
256,1159627.561017,36654.000000,119494.055061
512,2116217.290136,65983.000000,272360.499306
1024,1491754.544086,55652.000000,93907.944797
2048,2115583.877129,62644.000000,262150.458996
4096,4024336.176551,123330.000000,1069069.111664
8192,3367891.068867,90542.000000,611893.132274
16384,383024.179303,17329.000000,226239.569815
32768,1521576.157613,54450.000000,526142.884054
65536,584026.853955,30376.000000,131300.883139
