frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2842978.809983,297416.000000,0.000000
4,3206002.137108,297958.000000,0.000000
8,3785420.349971,301768.000000,0.000000
16,3536984.205059,294257.000000,0.000000
32,4248624.853872,307519.000000,0.000000
64,4153529.029373,305771.000000,0.000000
128,4049193.074575,297201.000000,0.000000
256,4634134.239129,297449.000000,0.000000
512,4070791.764092,306538.000000,0.000000
1024,5128806.568188,299525.000000,0.000000
2048,3538511.054237,272013.000000,0.000000
4096,4175670.486924,305078.000000,0.000000
8192,4772482.288426,267350.000000,0.000000
16384,4586853.949215,295809.000000,0.000000
32768,596366.400386,57037.000000,0.000000
65536,9787772.364536,304314.000000,0.000000
