frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2800727.428495,290218.000000,27953.014024
4,3279860.688266,286955.000000,9283.039373
8,1660905.890558,171186.000000,56387.028349
16,3053253.016679,300183.000000,11169.236948
32,4481034.998150,297986.000000,42371.623948
64,3338816.093511,274113.000000,179085.190812
128,4615618.703399,305111.000000,303254.408685
256,4188262.376835,303984.000000,333466.568627
512,4031444.782292,297231.000000,380656.632955
1024,4575268.133751,300312.000000,525887.367980
2048,6413078.430825,299395.000000,1246736.898538
4096,5302999.872808,281291.000000,1515652.175964
8192,6659714.954952,307569.000000,1992233.529335
16384,5062215.263918,288809.000000,2553432.723713
32768,6668554.537351,302821.000000,2694087.556685
65536,3660992.229292,204790.000000,3084833.313433
