frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2333959.228893,301720.000000,0.000000
4,3547429.589932,289781.000000,0.000000
8,2116789.179790,284787.000000,0.000000
16,3507852.932933,254746.000000,0.000000
32,4718041.967337,302447.000000,0.000000
64,4322598.075554,299336.000000,0.000000
128,2497707.533563,291886.000000,0.000000
256,4717751.468254,304850.000000,0.000000
512,4124034.916330,297672.000000,0.000000
1024,4756864.464346,301447.000000,0.000000
2048,4275353.645953,294348.000000,0.000000
4096,5070202.012930,307314.000000,0.000000
8192,6503365.285420,302240.000000,0.000000
16384,7860271.719693,303626.000000,0.000000
32768,6251911.724554,250675.000000,0.000000
65536,6588915.290066,192538.000000,0.000000
