frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2491763.510303,73216.000000,23558.010591
4,4829395.798635,214251.000000,134.290729
8,4829140.554842,107628.000000,214022.867799
16,5823707.792322,268712.000000,21421.949795
32,6783334.507846,282254.000000,65146.100221
64,6266803.115284,289472.000000,146033.118809
128,5786092.125847,136345.000000,406505.025179
256,8747830.325397,194927.000000,1219673.132811
512,6834527.288938,180328.000000,406711.795095
1024,6082312.466766,304286.000000,1282779.406563
2048,3768255.374679,305314.000000,380027.750122
4096,1560618.117560,56781.000000,219202.464826
8192,7729892.006745,204910.000000,2304302.699996
16384,6868614.307111,179832.000000,3096351.538851
32768,2230954.045283,70365.000000,1334331.869145
65536,5947482.326241,165284.000000,3739986.888064
