frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,4183385.341060,307463.000000,92641.452676
4,3371922.446550,288248.000000,42597.870416
8,3364981.360731,296038.000000,25440.419022
16,3762223.273985,304227.000000,43182.772190
32,4157035.149117,306076.000000,68290.586460
64,3980947.021940,299788.000000,180404.532069
128,4452677.061499,309598.000000,350763.937841
256,4014657.493365,298788.000000,239285.116447
512,4567771.602608,288546.000000,510824.720617
1024,5472697.902973,301411.000000,961180.446525
2048,5328604.608935,303307.000000,1060323.052585
4096,6728429.894350,301741.000000,1454745.001074
8192,6691469.843379,293187.000000,2052487.755863
16384,2313294.630546,240435.000000,374964.777123
32768,3023059.445033,172955.000000,836309.727059
65536,12858201.778204,308864.000000,12698025.445400
