frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2781876.824377,303774.000000,0.000000
4,3343063.313155,302916.000000,0.000000
8,1225457.776547,210774.000000,0.000000
16,3598750.717696,296400.000000,0.000000
32,2817522.743944,278726.000000,0.000000
64,3952112.296265,303911.000000,0.000000
128,2967161.492496,301537.000000,0.000000
256,4010198.661844,302003.000000,0.000000
512,5002788.684945,290742.000000,0.000000
1024,3603519.474775,297629.000000,0.000000
2048,4915381.699660,307364.000000,0.000000
4096,4229111.366924,297455.000000,0.000000
8192,3985393.005320,303878.000000,0.000000
16384,5674714.808842,264731.000000,0.000000
32768,5951284.310586,268945.000000,0.000000
65536,8513538.854192,302783.000000,0.000000
