frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,205152.452735,43904.000000
128,175969.416604,40459.000000
16384,182709.614490,99148.000000
65536,646445.550504,36004.000000
512,148076.539583,37039.000000
16,200169.744964,43756.000000
8192,369548.891911,55548.000000
64,258344.675300,195342.000000
2048,223143.509789,46411.000000
8,185345.815397,63109.000000
2,198542.265797,48298.000000
256,159833.005431,49634.000000
32,180982.565254,40223.000000
32768,237755.436068,49571.000000
4,149672.287709,36250.000000
4096,170293.349301,40320.000000
