frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
65536,39767932.737496,1879105.000000
32768,57292662.110378,1929365.000000
8192,65379894.546804,2039909.000000
16384,69919952.747866,2383628.000000
1024,77444159.169420,2234915.000000
64,74460851.784018,2168388.000000
4,74683051.141951,2214490.000000
8,74072153.938897,2200474.000000
32,74672848.273571,2121588.000000
4096,74777872.415994,2408603.000000
16,75438361.378186,2139815.000000
256,76822701.375373,2326948.000000
2,75906769.408602,2243603.000000
128,77492407.250783,2175400.000000
512,79731512.227414,2184669.000000
2048,81496862.974871,2314079.000000
