frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,203096.170638,77506.000000
128,218353.559023,57533.000000
16384,40336.931490,12771.000000
4,186655.141250,49434.000000
256,153845.201391,36236.000000
4096,157964.669157,78316.000000
2,175409.741708,43565.000000
512,166931.479051,53759.000000
16,195110.616508,111404.000000
65536,276042.015688,47130.000000
64,234312.844878,46559.000000
2048,211294.821841,50451.000000
8,156151.420330,44332.000000
8192,424475.768337,52219.000000
32,184467.675713,41093.000000
32768,559394.209982,30704.000000
