frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
4096,53434283.275079,2062059.000000
128,54992094.767733,2144267.000000
4,51064481.033846,1961645.000000
256,55291062.321277,2249117.000000
8192,53656567.966386,2270325.000000
8,49035439.831115,2168202.000000
1024,54362626.549373,2196093.000000
32768,41571928.772780,2103641.000000
512,51398954.793694,2250234.000000
16,48381940.944306,2114578.000000
32,50812950.684556,2148188.000000
64,51241172.075677,2149565.000000
2048,58982545.332925,2218789.000000
2,50249807.657372,2055357.000000
16384,52551041.295603,1937513.000000
65536,101336319.598589,2431958.000000
