frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,130476.071507,35947.000000
128,162082.152506,35661.000000
16384,162607.515045,58078.000000
16,188174.673083,47154.000000
32,180998.901577,45829.000000
512,201907.130112,45103.000000
8192,75666.523609,34183.000000
8,152159.605582,37897.000000
2048,157411.192016,44457.000000
65536,72183.416925,36049.000000
2,141065.884288,36394.000000
64,166718.613460,45400.000000
4,178321.080038,50214.000000
256,86666.143695,32455.000000
32768,322029.415133,73615.000000
4096,291382.604714,77183.000000
