frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_max_flow_time,Dynamic_BAL_njobs100_mode2_max_flow_time,Dynamic_BAL_njobs100_mode3_max_flow_time,Dynamic_BAL_njobs100_mode4_max_flow_time,Dynamic_BAL_njobs100_mode5_max_flow_time,Dynamic_BAL_njobs100_mode6_max_flow_time,Dynamic_BAL_njobs100_mode7_max_flow_time
1024,155456.428642,135801.702710,130476.071507,155456.428642,155456.428642,130476.071507,130476.071507,29632.000000,33187.000000,35947.000000,29632.000000,29632.000000,35947.000000,35947.000000
2,141065.884288,141065.884288,141065.884288,141065.884288,141065.884288,141065.884288,141065.884288,36394.000000,36394.000000,36394.000000,36394.000000,36394.000000,36394.000000,36394.000000
16384,162607.515045,162607.515045,162607.515045,162607.515045,162607.515045,162607.515045,162607.515045,58078.000000,58078.000000,58078.000000,58078.000000,58078.000000,58078.000000,58078.000000
512,201907.130112,201907.130112,201907.130112,201907.130112,201907.130112,201907.130112,201907.130112,45103.000000,45103.000000,45103.000000,45103.000000,45103.000000,45103.000000,45103.000000
4,178321.080038,178321.080038,178321.080038,178321.080038,178321.080038,178321.080038,178321.080038,50214.000000,50214.000000,50214.000000,50214.000000,50214.000000,50214.000000,50214.000000
65536,75774.300940,72183.416925,72183.416925,72183.416925,75774.300940,72183.416925,72183.416925,36049.000000,36049.000000,36049.000000,36049.000000,36049.000000,36049.000000,36049.000000
8,152159.605582,152159.605582,152159.605582,152159.605582,152159.605582,152159.605582,152159.605582,37897.000000,37897.000000,37897.000000,37897.000000,37897.000000,37897.000000,37897.000000
8192,73561.393835,93085.963770,73561.393835,73561.393835,73561.393835,93085.963770,93085.963770,34183.000000,34183.000000,34183.000000,34183.000000,34183.000000,34183.000000,34183.000000
16,188174.673083,188174.673083,188174.673083,188174.673083,188174.673083,188174.673083,188174.673083,47154.000000,47154.000000,47154.000000,47154.000000,47154.000000,47154.000000,47154.000000
32,180998.901577,180998.901577,180998.901577,180998.901577,180998.901577,180998.901577,180998.901577,45829.000000,45829.000000,45829.000000,45829.000000,45829.000000,45829.000000,45829.000000
4096,383522.673576,370795.682310,291382.604714,383522.673576,383522.673576,291382.604714,291382.604714,77020.000000,77020.000000,77183.000000,77020.000000,77020.000000,77183.000000,77183.000000
32768,322029.415133,322029.415133,322029.415133,322029.415133,322029.415133,322029.415133,322029.415133,73615.000000,73615.000000,73615.000000,73615.000000,73615.000000,73615.000000,73615.000000
256,86666.143695,86666.143695,86666.143695,86666.143695,86666.143695,86666.143695,86666.143695,32455.000000,32455.000000,32455.000000,32455.000000,32455.000000,32455.000000,32455.000000
64,166718.613460,166718.613460,166718.613460,166718.613460,166718.613460,166718.613460,166718.613460,45400.000000,45400.000000,45400.000000,45400.000000,45400.000000,45400.000000,45400.000000
128,162082.152506,162082.152506,162082.152506,162082.152506,162082.152506,162082.152506,162082.152506,35661.000000,35661.000000,35661.000000,35661.000000,35661.000000,35661.000000,35661.000000
2048,157383.928236,157411.192016,157383.928236,157383.928236,157383.928236,157411.192016,157411.192016,44457.000000,44457.000000,44457.000000,44457.000000,44457.000000,44457.000000,44457.000000
