frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,255543.101546,49028.000000
128,190635.489283,46096.000000
16384,97267.680162,34767.000000
16,222219.748634,51318.000000
32,191662.446815,46256.000000
8,209866.011460,67946.000000
64,173849.840598,41838.000000
2048,273125.101058,85246.000000
65536,158748.578526,54234.000000
256,182613.869465,60277.000000
4,205059.582102,49873.000000
32768,39785.675412,6500.000000
512,156883.833829,50546.000000
2,183928.339994,61543.000000
8192,141943.890982,63070.000000
4096,231386.382942,47297.000000
