frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_max_flow_time,Dynamic_BAL_njobs100_mode2_max_flow_time,Dynamic_BAL_njobs100_mode3_max_flow_time,Dynamic_BAL_njobs100_mode4_max_flow_time,Dynamic_BAL_njobs100_mode5_max_flow_time,Dynamic_BAL_njobs100_mode6_max_flow_time,Dynamic_BAL_njobs100_mode7_max_flow_time
16384,37063.381888,37063.381888,38142.565147,37063.381888,37063.381888,38142.565147,37063.381888,2872.000000,2872.000000,4937.000000,2872.000000,2872.000000,4937.000000,2872.000000
512,200640.611158,200640.611158,200640.611158,200640.611158,200640.611158,200640.611158,200640.611158,40610.000000,40610.000000,40610.000000,40610.000000,40610.000000,40610.000000,40610.000000
32768,12585.333925,12585.333925,12585.333925,12585.333925,12585.333925,12585.333925,12585.333925,11453.000000,11453.000000,11453.000000,11453.000000,11453.000000,11453.000000,11453.000000
64,186660.636817,186660.636817,186660.636817,186660.636817,186660.636817,186660.636817,186660.636817,45992.000000,45992.000000,45992.000000,45992.000000,45992.000000,45992.000000,45992.000000
1024,150780.054609,146516.560392,150780.054609,150780.054609,150780.054609,148880.530890,148880.530890,33904.000000,33904.000000,33904.000000,33904.000000,33904.000000,33991.000000,33991.000000
2,216488.821510,216488.821510,216488.821510,216488.821510,216488.821510,216488.821510,216488.821510,49237.000000,49237.000000,49237.000000,49237.000000,49237.000000,49237.000000,49237.000000
2048,126018.259967,126018.259967,112241.649623,126018.259967,126018.259967,112241.649623,112241.649623,34760.000000,34760.000000,38569.000000,34760.000000,34760.000000,38569.000000,38569.000000
8192,133561.270303,133561.270303,133561.270303,133561.270303,133561.270303,133561.270303,133561.270303,46080.000000,46080.000000,46080.000000,46080.000000,46080.000000,46080.000000,46080.000000
16,194911.662453,194911.662453,194911.662453,194911.662453,194911.662453,194911.662453,194911.662453,55638.000000,55638.000000,55638.000000,55638.000000,55638.000000,55638.000000,55638.000000
65536,130589.312181,130589.312181,130589.312181,130589.312181,130589.312181,130589.312181,130589.312181,43997.000000,43997.000000,43997.000000,43997.000000,43997.000000,43997.000000,43997.000000
8,171770.748427,171770.748427,171770.748427,171770.748427,171770.748427,171770.748427,171770.748427,49222.000000,49222.000000,49222.000000,49222.000000,49222.000000,49222.000000,49222.000000
4,183847.247768,183847.247768,183847.247768,183847.247768,183847.247768,183847.247768,183847.247768,87425.000000,87425.000000,87425.000000,87425.000000,87425.000000,87425.000000,87425.000000
128,217961.169404,217961.169404,217961.169404,217961.169404,217961.169404,217961.169404,217961.169404,46909.000000,46909.000000,46909.000000,46909.000000,46909.000000,46909.000000,46909.000000
256,157705.713818,157705.713818,157705.713818,157705.713818,157705.713818,157705.713818,157705.713818,34740.000000,34740.000000,34740.000000,34740.000000,34740.000000,34740.000000,34740.000000
32,169030.317878,169030.317878,169030.317878,169030.317878,169030.317878,166731.716194,169030.317878,39706.000000,39706.000000,39706.000000,39706.000000,39706.000000,42469.000000,39706.000000
4096,363299.459552,363299.459552,363299.459552,363299.459552,363299.459552,363299.459552,363299.459552,56726.000000,56726.000000,56726.000000,56726.000000,56726.000000,56726.000000,56726.000000
