frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
128,189000.672176,39870.000000
16384,82667.549329,29290.000000
1024,194719.723986,46678.000000
4,195031.011626,51029.000000
4096,100517.410029,26174.000000
32768,412431.764624,73153.000000
32,188223.128714,47828.000000
512,196599.148536,42275.000000
8192,116276.568934,64739.000000
64,204727.280073,49392.000000
2048,227134.796020,54767.000000
8,164301.839968,42489.000000
16,177346.581924,40597.000000
2,203706.635594,49716.000000
65536,42595.668465,6478.000000
256,241981.876073,48043.000000
