frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_max_flow_time,Dynamic_BAL_njobs100_mode2_max_flow_time,Dynamic_BAL_njobs100_mode3_max_flow_time,Dynamic_BAL_njobs100_mode4_max_flow_time,Dynamic_BAL_njobs100_mode5_max_flow_time,Dynamic_BAL_njobs100_mode6_max_flow_time,Dynamic_BAL_njobs100_mode7_max_flow_time
256,153845.201391,153845.201391,153845.201391,153845.201391,153845.201391,153845.201391,153845.201391,36236.000000,36236.000000,36236.000000,36236.000000,36236.000000,36236.000000,36236.000000
16384,40336.931490,40336.931490,40336.931490,40336.931490,40336.931490,40336.931490,40336.931490,12771.000000,12771.000000,12771.000000,12771.000000,12771.000000,12771.000000,12771.000000
16,195110.616508,195110.616508,195110.616508,195110.616508,195110.616508,195110.616508,195110.616508,111404.000000,111404.000000,111404.000000,111404.000000,111404.000000,111404.000000,111404.000000
2,175409.741708,175409.741708,175409.741708,175409.741708,175409.741708,175409.741708,175409.741708,43565.000000,43565.000000,43565.000000,43565.000000,43565.000000,43565.000000,43565.000000
4096,442841.391656,442841.391656,157964.669157,162408.649511,442841.391656,157964.669157,157964.669157,78316.000000,78316.000000,78316.000000,78316.000000,78316.000000,78316.000000,78316.000000
4,186655.141250,186655.141250,186655.141250,186655.141250,186655.141250,186655.141250,186655.141250,49434.000000,49434.000000,49434.000000,49434.000000,49434.000000,49434.000000,49434.000000
1024,203096.170638,203096.170638,203096.170638,203096.170638,203096.170638,203096.170638,203096.170638,77506.000000,77506.000000,77506.000000,77506.000000,77506.000000,77506.000000,77506.000000
512,166931.479051,166931.479051,166931.479051,166931.479051,166931.479051,166931.479051,166931.479051,53759.000000,53759.000000,53759.000000,53759.000000,53759.000000,53759.000000,53759.000000
8,200655.485908,156151.420330,200655.485908,200655.485908,200655.485908,156151.420330,156151.420330,39580.000000,44332.000000,39580.000000,39580.000000,39580.000000,44332.000000,44332.000000
65536,276042.015688,276042.015688,276042.015688,276042.015688,276042.015688,276042.015688,276042.015688,47130.000000,47130.000000,47130.000000,47130.000000,47130.000000,47130.000000,47130.000000
128,218353.559023,218353.559023,218353.559023,218353.559023,218353.559023,218353.559023,218353.559023,57533.000000,57533.000000,57533.000000,57533.000000,57533.000000,57533.000000,57533.000000
2048,302838.634627,211294.821841,211294.821841,302838.634627,302838.634627,211294.821841,211294.821841,37613.000000,50451.000000,50451.000000,37613.000000,37613.000000,50451.000000,50451.000000
8192,424475.768337,424475.768337,424475.768337,424475.768337,424475.768337,424475.768337,424475.768337,52219.000000,52219.000000,52219.000000,52219.000000,52219.000000,52219.000000,52219.000000
32,184467.675713,184467.675713,184467.675713,184467.675713,184467.675713,184467.675713,184467.675713,41093.000000,41093.000000,41093.000000,41093.000000,41093.000000,41093.000000,41093.000000
64,234312.844878,234312.844878,234312.844878,234312.844878,234312.844878,234312.844878,234312.844878,46559.000000,46559.000000,46559.000000,46559.000000,46559.000000,46559.000000,46559.000000
32768,559315.187960,559315.187960,559315.187960,559315.187960,559315.187960,559315.187960,559315.187960,30566.000000,30566.000000,30566.000000,30566.000000,30566.000000,30566.000000,30566.000000
