frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
16384,36186959.073488,1829019.000000
4096,57299516.884722,2216387.000000
8192,57532449.419791,2193301.000000
16,50490113.099567,1986835.000000
256,50794812.488998,2090306.000000
2,50695728.952687,2031312.000000
8,51338950.013768,2098840.000000
4,50263291.718075,1962649.000000
32,52569408.613375,2032001.000000
128,54668972.820720,2030554.000000
64,55093220.242776,2174840.000000
1024,51896054.316060,2149487.000000
512,52040882.711172,2005669.000000
65536,72990852.957035,2265877.000000
2048,59576853.215162,2103780.000000
32768,66043827.748984,2044749.000000
