frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,156503.078321,39489.000000
128,222959.805671,45578.000000
16384,369755.090402,50563.000000
65536,268314.427631,84712.000000
2,190060.567978,44869.000000
4,179752.345812,44898.000000
256,158809.267431,42937.000000
32768,122244.999714,9409.000000
32,187993.762261,59932.000000
512,205111.289392,45615.000000
16,195316.754366,49153.000000
64,165298.412548,42014.000000
8192,135250.858319,23923.000000
2048,78018.039568,32784.000000
8,181808.459811,48355.000000
4096,385901.782328,79003.000000
