frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
65536,50288913.240182,2194022.000000
32768,62562025.719853,2303465.000000
4096,69155346.213507,2175004.000000
16384,75139260.633612,2249927.000000
2,72891888.774555,2308572.000000
2048,77221951.389154,2230573.000000
4,74698998.700931,2598930.000000
8,75156970.961321,2261737.000000
16,76106582.974761,2237194.000000
8192,78918342.643634,2138496.000000
32,76212250.933028,2294930.000000
128,76850880.758708,2191277.000000
1024,80375690.665270,2168345.000000
64,76896027.162037,2373313.000000
256,79017489.647146,2098232.000000
512,81300825.384155,2201695.000000
