frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time,Dynamic_njobs100_mode7_maximum_flow_time
1024,118192936.250408,118192936.250408,118192936.250408,118192936.250408,118192936.250408,118192936.250408,118192936.250408,3454762.000000,3454762.000000,3454762.000000,3454762.000000,3454762.000000,3454762.000000,3454762.000000
128,65729434.536788,62943610.246922,62738152.870896,62738152.870896,62738152.870896,62738152.870896,62738152.870896,2155111.000000,2297611.000000,2297611.000000,2297611.000000,2297611.000000,2297611.000000,2297611.000000
16384,84294659.941147,82264714.292302,82051571.029172,75652236.847051,70941373.199529,55877801.473723,55877801.473723,2344141.000000,2344141.000000,2344141.000000,2344141.000000,2344141.000000,2516341.000000,2516341.000000
16,1197042.018900,1014581.130503,560839.833863,560839.833863,560839.833863,560839.833863,560839.833863,153235.000000,216620.000000,463291.000000,463291.000000,463291.000000,463291.000000,463291.000000
2048,74229521.365022,68717906.732847,67142182.206890,67128226.053656,61692211.839388,61663586.785028,61663586.785028,2131910.000000,2198648.000000,2262594.000000,2262594.000000,2362524.000000,2362524.000000,2362524.000000
256,112482500.408142,112482500.408142,112482500.408142,112482500.408142,112482500.408142,112482500.408142,112482500.408142,3308055.000000,3308055.000000,3308055.000000,3308055.000000,3308055.000000,3308055.000000,3308055.000000
2,61687831.122690,61230796.201397,61162002.586127,61162002.586127,61162002.586127,61162002.586127,61162002.586127,2243866.000000,2243866.000000,2243866.000000,2243866.000000,2243866.000000,2243866.000000,2243866.000000
32768,30208263.810142,29730466.426188,29597743.143339,29597743.143339,29597743.143339,29597743.143339,29597743.143339,2232602.000000,2232602.000000,2232602.000000,2232602.000000,2232602.000000,2232602.000000,2232602.000000
32,107387688.426714,107387688.426714,107387688.426714,107387688.426714,107387688.426714,107387688.426714,107387688.426714,3649011.000000,3649011.000000,3649011.000000,3649011.000000,3649011.000000,3649011.000000,3649011.000000
4096,3940471.818704,3880266.910898,3728925.196677,3335093.549757,2857531.466933,2658521.974560,2658521.974560,227242.000000,226747.000000,235467.000000,449192.000000,810477.000000,935794.000000,935794.000000
4,3046766.445645,1839232.744929,1801502.605158,1574029.361814,1574029.361814,1574029.361814,1574029.361814,687246.000000,959898.000000,970172.000000,1020961.000000,1020961.000000,1020961.000000,1020961.000000
512,109513637.847723,109513637.847723,109513637.847723,109513637.847723,109513637.847723,109513637.847723,109513637.847723,3521451.000000,3521451.000000,3521451.000000,3521451.000000,3521451.000000,3521451.000000,3521451.000000
64,1489106.779014,2104133.202990,1350008.186715,1350007.081265,1350007.081265,1350007.081265,1350007.081265,341377.000000,507425.000000,787044.000000,787044.000000,787044.000000,787044.000000,787044.000000
65536,143661776.695724,143661776.695724,143661776.695724,143661776.695724,143661776.695724,143661776.695724,143661776.695724,3334460.000000,3334460.000000,3334460.000000,3334460.000000,3334460.000000,3334460.000000,3334460.000000
8192,70724538.116189,69960270.235290,69511937.004201,69062222.316317,69178872.343120,68925330.456786,69115650.944148,2286446.000000,2286446.000000,2286446.000000,2286446.000000,2286446.000000,2286446.000000,2286446.000000
8,110249070.268123,109894270.507809,109894270.507809,109894270.507809,109894270.507809,109894270.507809,109894270.507809,3528240.000000,3528240.000000,3528240.000000,3528240.000000,3528240.000000,3528240.000000,3528240.000000
