frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time,Dynamic_njobs100_mode7_maximum_flow_time,Dynamic_njobs100_mode8_maximum_flow_time
1024,165274156.754756,162100161.394056,161964922.793757,161964922.793757,161964922.793757,161964922.793757,161964922.793757,161964922.793757,3275240.000000,3317892.000000,3317892.000000,3317892.000000,3317892.000000,3317892.000000,3317892.000000,3317892.000000
128,5808165.409536,6181723.936930,5801403.343139,4561135.868253,3139093.096750,2208708.791193,2254078.479457,3231444.693998,173217.000000,176705.000000,225743.000000,334755.000000,577972.000000,1095470.000000,974066.000000,670503.000000
16384,104327324.483151,103075076.075181,102814835.913916,99128748.623197,59204901.438784,58219368.896923,58219368.896923,59176876.591542,1295268.000000,1295268.000000,1295268.000000,1295268.000000,2185429.000000,2185429.000000,2185429.000000,2185429.000000
16,676307.717884,655084.833842,539535.673258,519013.095926,417797.521722,395611.733738,395611.733738,459067.319846,42836.000000,64179.000000,70934.000000,118699.000000,194282.000000,194282.000000,194282.000000,194282.000000
2048,91098791.972741,88613302.279484,88845711.502662,91511560.681139,89609739.712833,89376108.336526,89371543.257414,88915437.232006,1952314.000000,2018026.000000,2018026.000000,2018026.000000,2130949.000000,2170296.000000,2170296.000000,2130949.000000
256,6813799.092042,5906426.664404,5449419.057785,5137382.176676,3616497.443583,2379166.480026,2379166.480026,3654102.159316,223024.000000,250560.000000,250560.000000,398444.000000,589926.000000,1204645.000000,1204645.000000,518947.000000
2,91035854.964583,90286241.179762,89534891.900858,89706531.669581,89521907.241360,88806215.987944,88806215.987944,88806215.987944,2135419.000000,2136234.000000,2222835.000000,2222835.000000,2222835.000000,2274911.000000,2274911.000000,2274911.000000
32768,107002734.795128,106979910.606059,106953378.093552,106860299.061319,101820833.068263,100285362.817014,100285362.817014,106909734.385665,3445321.000000,3445321.000000,3445321.000000,3445321.000000,3495572.000000,3495572.000000,3495572.000000,3445321.000000
32,5956081.596856,5486958.804773,5065605.734688,4528534.565752,3346484.487449,1506585.647192,1506556.562927,3350495.975152,133950.000000,195592.000000,237034.000000,314220.000000,629201.000000,1047007.000000,1047007.000000,549370.000000
4096,157744048.023603,156365229.100404,156082473.017604,154306612.902553,152573678.179711,152425837.706837,152425837.706837,152573678.179711,3403761.000000,3403761.000000,3403761.000000,3403761.000000,3404046.000000,3404046.000000,3404046.000000,3404046.000000
4,164614359.453237,164541879.153018,164322749.837513,164322749.837513,164322749.837513,164322749.837513,164322749.837513,164322749.837513,3372339.000000,3372339.000000,3372339.000000,3372339.000000,3372339.000000,3372339.000000,3372339.000000,3372339.000000
512,4971976.190737,4805891.327117,4742976.162853,4498025.898327,4317728.963934,2380342.806672,2573397.425564,4502053.430129,137402.000000,136368.000000,176294.000000,197574.000000,266489.000000,1115112.000000,855585.000000,211593.000000
64,4575981.148828,4234901.082622,3766854.175656,3238375.173976,2313650.023821,1623283.357950,1623283.357950,2420607.155181,118569.000000,151536.000000,205869.000000,284190.000000,459212.000000,822664.000000,822664.000000,586523.000000
65536,208064661.257063,208055599.410936,207968186.327074,208019082.809224,208298036.147804,209979722.597790,209572429.248081,208078176.957911,2849017.000000,2849017.000000,2849017.000000,2849017.000000,2849017.000000,2849017.000000,2849017.000000,2849017.000000
8192,167392081.386162,167865736.561721,168706779.812047,224660544.427180,166840409.797161,165148015.746124,165148015.746124,166378985.682413,3356200.000000,3356200.000000,3356200.000000,2419480.000000,3356200.000000,3356200.000000,3356200.000000,3356200.000000
8,111535060.703967,92894577.687342,91762116.605647,91999145.725564,92128113.350030,90918797.396803,90918797.396803,91694055.240833,1222223.000000,2107296.000000,2173000.000000,2173000.000000,2173000.000000,2261762.000000,2261762.000000,2243499.000000
