arrival_rate,L,FCFS_percentage,SRPT_percentage
20.0,16.772,96.7,3.3
20.0,7.918,0.6,99.4
20.0,5.649,0.5,99.5
20.0,4.639,0.2,99.8
20.0,4.073,0.5,99.5
22.0,16.772,99.7,0.3
22.0,7.918,0.7,99.3
22.0,5.649,0.3,99.7
22.0,4.639,0.3,99.7
22.0,4.073,0.0,100.0
24.0,16.772,99.6,0.4
24.0,7.918,1.4,98.6
24.0,5.649,0.1,99.9
24.0,4.639,0.0,100.0
24.0,4.073,0.4,99.6
26.0,16.772,99.7,0.3
26.0,7.918,0.5,99.5
26.0,5.649,0.0,100.0
26.0,4.639,0.2,99.8
26.0,4.073,0.0,100.0
28.0,16.772,99.8,0.2
28.0,7.918,0.9,99.1
28.0,5.649,0.5,99.5
28.0,4.639,0.3,99.7
28.0,4.073,0.3,99.7
30.0,16.772,99.3,0.7
30.0,7.918,0.7,99.3
30.0,5.649,0.6,99.4
30.0,4.639,0.1,99.9
30.0,4.073,0.4,99.6
32.0,16.772,99.6,0.4
32.0,7.918,0.7,99.3
32.0,5.649,0.0,100.0
32.0,4.639,0.1,99.9
32.0,4.073,0.5,99.5
34.0,16.772,98.3,1.7
34.0,7.918,0.8,99.2
34.0,5.649,0.0,100.0
34.0,4.639,0.1,99.9
34.0,4.073,0.3,99.7
36.0,16.772,97.2,2.8
36.0,7.918,0.4,99.6
36.0,5.649,0.6,99.4
36.0,4.639,0.5,99.5
36.0,4.073,0.5,99.5
38.0,16.772,96.4,3.6
38.0,7.918,0.5,99.5
38.0,5.649,0.1,99.9
38.0,4.639,0.4,99.6
38.0,4.073,0.2,99.8
40.0,16.772,93.5,6.5
40.0,7.918,0.6,99.4
40.0,5.649,0.2,99.8
40.0,4.639,0.3,99.7
40.0,4.073,0.9,99.1
