arrival_rate,L,FCFS_percentage,SRPT_percentage
20.0,16.772,1.0,99.0
20.0,7.918,1.0,99.0
20.0,5.649,0.0,100.0
20.0,4.639,0.0,100.0
20.0,4.073,0.0,100.0
22.0,16.772,26.0,74.0
22.0,7.918,0.0,100.0
22.0,5.649,0.0,100.0
22.0,4.639,0.0,100.0
22.0,4.073,0.0,100.0
24.0,16.772,21.0,79.0
24.0,7.918,0.0,100.0
24.0,5.649,0.0,100.0
24.0,4.639,5.0,95.0
24.0,4.073,0.0,100.0
26.0,16.772,53.0,47.0
26.0,7.918,0.0,100.0
26.0,5.649,4.0,96.0
26.0,4.639,0.0,100.0
26.0,4.073,0.0,100.0
28.0,16.772,11.0,89.0
28.0,7.918,0.0,100.0
28.0,5.649,1.0,99.0
28.0,4.639,3.0,97.0
28.0,4.073,0.0,100.0
30.0,16.772,75.0,25.0
30.0,7.918,1.0,99.0
30.0,5.649,1.0,99.0
30.0,4.639,0.0,100.0
30.0,4.073,0.0,100.0
32.0,16.772,50.0,50.0
32.0,7.918,1.0,99.0
32.0,5.649,0.0,100.0
32.0,4.639,0.0,100.0
32.0,4.073,0.0,100.0
34.0,16.772,99.0,1.0
34.0,7.918,0.0,100.0
34.0,5.649,0.0,100.0
34.0,4.639,0.0,100.0
34.0,4.073,0.0,100.0
36.0,16.772,82.0,18.0
36.0,7.918,0.0,100.0
36.0,5.649,0.0,100.0
36.0,4.639,2.0,98.0
36.0,4.073,0.0,100.0
38.0,16.772,30.0,70.0
38.0,7.918,0.0,100.0
38.0,5.649,0.0,100.0
38.0,4.639,0.0,100.0
38.0,4.073,2.0,98.0
40.0,16.772,92.0,8.0
40.0,7.918,2.0,98.0
40.0,5.649,0.0,100.0
40.0,4.639,0.0,100.0
40.0,4.073,0.0,100.0
