frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,492469.667513,84815.000000
128,13093.981747,8816.000000
16384,80932.145492,36366.000000
16,434973.109069,63106.000000
2048,75182.019127,51297.000000
256,339740.709858,59990.000000
2,249336.399808,46759.000000
32768,35806.098168,20882.000000
32,41809.704627,35054.000000
4096,169296.807123,51911.000000
4,14542.840403,8532.000000
512,8093.730660,5419.000000
64,25634.477955,20221.000000
65536,28539.689312,16274.000000
8192,17196.020819,14731.000000
8,211832.023507,49155.000000
