frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,314940.158225,60002.000000
128,36670.916869,27141.000000
16384,183557.711876,39905.000000
16,344885.147943,70858.000000
2048,296016.405843,59533.000000
256,298575.412137,51076.000000
2,234070.421365,41637.000000
32768,4871.453992,2028.000000
32,501864.901634,79804.000000
4096,384999.069903,51417.000000
4,220310.174257,51633.000000
512,426583.663596,82209.000000
64,30918.988535,15530.000000
65536,15831.979883,11217.000000
8192,354205.276377,70642.000000
8,449078.909179,89522.000000
