frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,34274.728620,29263.000000
128,41512.494577,28625.000000
16384,188590.941442,28263.000000
16,9276.654408,6868.000000
2048,29601.058528,19578.000000
256,20103.677499,8402.000000
2,263733.829965,52855.000000
32768,72338.165259,27233.000000
32,428122.551713,76540.000000
4096,111593.739497,24930.000000
4,11802.167259,9211.000000
512,246002.437220,60851.000000
64,16075.927967,13885.000000
65536,99245.375474,43163.000000
8192,297055.702677,60846.000000
8,412392.663847,67917.000000
