frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
1024,7489.975901,7489.975901,7489.975901,7489.975901,7489.975901,7489.975901,7489.975901,5253.000000,5253.000000,5253.000000,5253.000000,5253.000000,5253.000000,5253.000000
128,16296.072410,16296.072410,16296.072410,16296.072410,16296.072410,16296.072410,16296.072410,10217.000000,10217.000000,10217.000000,10217.000000,10217.000000,10217.000000,10217.000000
16384,663728.937787,663728.937787,663728.937787,663728.937787,663728.937787,663728.937787,663728.937787,69451.000000,69451.000000,69451.000000,69451.000000,69451.000000,69451.000000,69451.000000
16,256574.683504,256574.683504,256574.683504,256574.683504,256574.683504,256574.683504,256574.683504,49484.000000,49484.000000,49484.000000,49484.000000,49484.000000,49484.000000,49484.000000
2048,370444.272414,370444.272414,370444.272414,370444.272414,370444.272414,370444.272414,370444.272414,70889.000000,70889.000000,70889.000000,70889.000000,70889.000000,70889.000000,70889.000000
256,434793.706040,434793.706040,434793.706040,434793.706040,434793.706040,434793.706040,434793.706040,72865.000000,72865.000000,72865.000000,72865.000000,72865.000000,72865.000000,72865.000000
2,27498.511251,27498.511251,27498.511251,27498.511251,27498.511251,27498.511251,27498.511251,20434.000000,20434.000000,20434.000000,20434.000000,20434.000000,20434.000000,20434.000000
32768,13545.773880,13545.773880,13545.773880,13545.773880,13545.773880,13545.773880,13545.773880,1378.000000,1378.000000,1378.000000,1378.000000,1378.000000,1378.000000,1378.000000
32,419273.706856,419273.706856,419273.706856,419273.706856,419273.706856,419273.706856,419273.706856,91687.000000,91687.000000,91687.000000,91687.000000,91687.000000,91687.000000,91687.000000
4096,36304.708703,36304.708703,36304.708703,36304.708703,36304.708703,36304.708703,36304.708703,33322.000000,33322.000000,33322.000000,33322.000000,33322.000000,33322.000000,33322.000000
4,494350.253330,494350.253330,494350.253330,494350.253330,494350.253330,494350.253330,494350.253330,84031.000000,84031.000000,84031.000000,84031.000000,84031.000000,84031.000000,84031.000000
512,497914.892145,497914.892145,497914.892145,497914.892145,497914.892145,497914.892145,497914.892145,86600.000000,86600.000000,86600.000000,86600.000000,86600.000000,86600.000000,86600.000000
64,457567.024498,457567.024498,457567.024498,457567.024498,457567.024498,457567.024498,457567.024498,135118.000000,135118.000000,135118.000000,135118.000000,135118.000000,135118.000000,135118.000000
65536,521785.387611,521785.387611,521785.387611,521785.387611,521785.387611,521785.387611,521785.387611,77817.000000,77817.000000,77817.000000,77817.000000,77817.000000,77817.000000,77817.000000
8192,42000.329796,42000.329796,42000.329796,42000.329796,42000.329796,42000.329796,42000.329796,21846.000000,21846.000000,21846.000000,21846.000000,21846.000000,21846.000000,21846.000000
8,14063.522034,14049.564370,14049.564370,14049.564370,14063.522034,14049.564370,14049.564370,12983.000000,13034.000000,13034.000000,13034.000000,12983.000000,13034.000000,13034.000000
