frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,253869.674138,54633.000000
128,262643.454997,55175.000000
16384,157468.665953,43138.000000
16,17274.984544,16063.000000
2048,40580.950580,12139.000000
256,22468.503377,14538.000000
2,243341.978859,45330.000000
32768,280781.443228,50510.000000
32,29311.384085,27652.000000
4096,678406.332487,78890.000000
4,39891.253164,26465.000000
512,177091.480975,42300.000000
64,468752.150197,71514.000000
65536,17525.527011,12819.000000
8192,458018.719163,40473.000000
8,246233.627955,48584.000000
