frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
1024,48024.118149,43396.942830,44672.301452,48024.118149,48024.118149,37521.471799,44672.301452,12047.000000,19909.000000,19909.000000,12047.000000,12047.000000,27811.000000,19909.000000
128,433655.068823,433655.068823,433655.068823,433655.068823,433655.068823,433655.068823,433655.068823,64507.000000,64507.000000,64507.000000,64507.000000,64507.000000,64507.000000,64507.000000
16384,226347.382625,226347.382625,226347.382625,226347.382625,226347.382625,226347.382625,226347.382625,54199.000000,54199.000000,54199.000000,54199.000000,54199.000000,54199.000000,54199.000000
16,258986.340227,258986.340227,258986.340227,258986.340227,258986.340227,258986.340227,258986.340227,53665.000000,53665.000000,53665.000000,53665.000000,53665.000000,53665.000000,53665.000000
2048,175284.868329,175284.868329,175284.868329,175284.868329,175284.868329,175284.868329,175284.868329,33134.000000,33134.000000,33134.000000,33134.000000,33134.000000,33134.000000,33134.000000
256,413570.381050,413570.381050,413570.381050,413570.381050,413570.381050,413570.381050,413570.381050,74842.000000,74842.000000,74842.000000,74842.000000,74842.000000,74842.000000,74842.000000
2,250971.463105,250971.463105,250971.463105,250971.463105,250971.463105,250971.463105,250971.463105,51910.000000,51910.000000,51910.000000,51910.000000,51910.000000,51910.000000,51910.000000
32768,365597.616791,365597.616791,365597.616791,365597.616791,365597.616791,365597.616791,365597.616791,99807.000000,99807.000000,99807.000000,99807.000000,99807.000000,99807.000000,99807.000000
32,444621.561040,444621.561040,444621.561040,444621.561040,444621.561040,444621.561040,444621.561040,90171.000000,90171.000000,90171.000000,90171.000000,90171.000000,90171.000000,90171.000000
4096,153125.028127,153125.028127,153125.028127,153125.028127,153125.028127,153125.028127,153125.028127,51318.000000,51318.000000,51318.000000,51318.000000,51318.000000,51318.000000,51318.000000
4,250173.128919,250173.128919,250173.128919,250173.128919,250173.128919,250173.128919,250173.128919,44323.000000,44323.000000,44323.000000,44323.000000,44323.000000,44323.000000,44323.000000
512,453723.542489,557602.676304,418866.930295,427029.653395,453723.542489,418866.930295,418866.930295,57330.000000,34414.000000,58713.000000,58713.000000,57330.000000,58713.000000,58713.000000
64,228895.098148,228895.098148,228895.098148,228895.098148,228895.098148,228895.098148,228895.098148,47258.000000,47258.000000,47258.000000,47258.000000,47258.000000,47258.000000,47258.000000
65536,11538.724800,11538.724800,11538.724800,11538.724800,11538.724800,11538.724800,11538.724800,7149.000000,7149.000000,7149.000000,7149.000000,7149.000000,7149.000000,7149.000000
8192,133039.718862,133039.718862,133039.718862,133039.718862,133039.718862,133039.718862,133039.718862,48457.000000,48457.000000,48457.000000,48457.000000,48457.000000,48457.000000,48457.000000
8,305928.453412,305928.453412,305928.453412,305928.453412,305928.453412,305928.453412,305928.453412,65200.000000,65200.000000,65200.000000,65200.000000,65200.000000,65200.000000,65200.000000
