frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,7489.975901,5253.000000
128,16296.072410,10217.000000
16384,663728.937787,69451.000000
16,256574.683504,49484.000000
2048,370444.272414,70889.000000
256,434793.706040,72865.000000
2,27498.511251,20434.000000
32768,30201.887722,12831.000000
32,419273.706856,91687.000000
4096,36304.708703,33322.000000
4,494350.253330,84031.000000
512,497914.892145,86600.000000
64,457567.024498,135118.000000
65536,521785.387611,77817.000000
8192,42000.329796,21846.000000
8,14049.564370,13034.000000
