frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,19154.428600,14920.000000
128,23492.926978,14215.000000
16384,49533.090202,26621.000000
16,253155.230003,44369.000000
2048,499702.474196,84618.000000
256,432781.779424,66719.000000
2,8806.240174,4163.000000
32768,159188.381187,37010.000000
32,431404.695066,69632.000000
4096,154365.401525,102738.000000
4,399707.705230,75773.000000
512,32744.784363,24080.000000
64,7192.583124,4066.000000
65536,212539.389507,59779.000000
8192,48874.073608,18319.000000
8,400734.189532,74072.000000
