frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,37521.471799,27811.000000
128,433655.068823,64507.000000
16384,226347.382625,54199.000000
16,258986.340227,53665.000000
2048,175284.868329,33134.000000
256,413570.381050,74842.000000
2,250971.463105,51910.000000
32768,365597.616791,99807.000000
32,444621.561040,90171.000000
4096,153125.028127,51318.000000
4,250173.128919,44323.000000
512,418866.930295,58713.000000
64,228895.098148,47258.000000
65536,11538.724800,7149.000000
8192,133039.718862,48457.000000
8,305928.453412,65200.000000
