frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,369846.386471,67992.000000
128,23083.655581,17786.000000
16384,800692.298174,81769.000000
16,289307.517574,55867.000000
2048,432097.125706,58617.000000
256,10461.269999,3730.000000
2,456060.297932,83634.000000
32768,319873.310079,75691.000000
32,422026.846007,70593.000000
4096,162676.837927,126690.000000
4,444703.328150,97538.000000
512,34874.423450,27359.000000
64,275041.090797,68683.000000
65536,277056.301513,69601.000000
8192,492347.321021,52577.000000
8,23800.885047,20449.000000
