frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
1024,34274.728620,34274.728620,34274.728620,34274.728620,34274.728620,34274.728620,34274.728620,29263.000000,29263.000000,29263.000000,29263.000000,29263.000000,29263.000000,29263.000000
128,53157.862354,41512.494577,53157.862354,53157.862354,53157.862354,41512.494577,41512.494577,22062.000000,28625.000000,22062.000000,22062.000000,22062.000000,28625.000000,28625.000000
16384,132225.022987,132225.022987,132225.022987,132225.022987,132225.022987,132225.022987,132225.022987,5736.000000,5736.000000,5736.000000,5736.000000,5736.000000,5736.000000,5736.000000
16,9226.367866,9256.862211,9226.367866,9226.367866,9226.367866,9293.212093,9251.278182,6868.000000,6868.000000,6868.000000,6868.000000,6868.000000,6868.000000,6868.000000
2048,36336.448519,36336.448519,29601.058528,36336.448519,36336.448519,29601.058528,29601.058528,10556.000000,10556.000000,19578.000000,10556.000000,10556.000000,19578.000000,19578.000000
256,20310.181732,20310.181732,21236.860079,20310.181732,20310.181732,20103.677499,20310.181732,7577.000000,7577.000000,7577.000000,7577.000000,7577.000000,8402.000000,7577.000000
2,263733.829965,263733.829965,263733.829965,263733.829965,263733.829965,263733.829965,263733.829965,52855.000000,52855.000000,52855.000000,52855.000000,52855.000000,52855.000000,52855.000000
32768,72338.165259,72338.165259,72338.165259,72338.165259,72338.165259,72338.165259,72338.165259,27233.000000,27233.000000,27233.000000,27233.000000,27233.000000,27233.000000,27233.000000
32,428122.551713,428122.551713,428122.551713,428122.551713,428122.551713,428122.551713,428122.551713,76540.000000,76540.000000,76540.000000,76540.000000,76540.000000,76540.000000,76540.000000
4096,92467.764561,92749.925806,94816.462442,94816.462442,92467.764561,95091.654755,95091.654755,6903.000000,8258.000000,6124.000000,6124.000000,6903.000000,8258.000000,8258.000000
4,11802.167259,11802.167259,11802.167259,11802.167259,11802.167259,11802.167259,11802.167259,9211.000000,9211.000000,9211.000000,9211.000000,9211.000000,9211.000000,9211.000000
512,246002.437220,246002.437220,246002.437220,246002.437220,246002.437220,246002.437220,246002.437220,60851.000000,60851.000000,60851.000000,60851.000000,60851.000000,60851.000000,60851.000000
64,16075.927967,16075.927967,16075.927967,16075.927967,16075.927967,16075.927967,16075.927967,13885.000000,13885.000000,13885.000000,13885.000000,13885.000000,13885.000000,13885.000000
65536,99245.375474,99245.375474,99245.375474,99245.375474,99245.375474,99245.375474,99245.375474,43163.000000,43163.000000,43163.000000,43163.000000,43163.000000,43163.000000,43163.000000
8192,297055.702677,297055.702677,297055.702677,297055.702677,297055.702677,297055.702677,297055.702677,60846.000000,60846.000000,60846.000000,60846.000000,60846.000000,60846.000000,60846.000000
8,412392.663847,412392.663847,412392.663847,412392.663847,412392.663847,412392.663847,412392.663847,67917.000000,67917.000000,67917.000000,67917.000000,67917.000000,67917.000000,67917.000000
