frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,24092.992342,8389.000000
128,23670.138065,20797.000000
16384,642114.389364,71233.000000
16,13692.625205,12593.000000
2048,437095.969584,79043.000000
256,471678.655262,115420.000000
2,262610.032369,49536.000000
32768,316030.869014,53505.000000
32,217251.201260,42709.000000
4096,66688.060281,17301.000000
4,414020.014277,75570.000000
512,503647.858566,74344.000000
64,17437.860276,12816.000000
65536,168482.236488,55089.000000
8192,474940.400910,39232.000000
8,270864.860608,49179.000000
