Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
20,4.073000,262144.000000,915798.260750,294101.000000
20,4.639000,32768.000000,927816.653983,245109.000000
20,5.649000,4096.000000,1739110.010562,292861.000000
20,7.918000,512.000000,3461359.870718,283967.000000
20,16.772000,64.000000,7162738.803824,298602.000000
20,30.000000,6.000000,8601853.921208,301620.000000
20,30.000000,9.000000,7862033.184730,298713.000000
20,30.000000,12.000000,7571759.760637,298328.000000
20,30.000000,15.000000,7602684.991492,303678.000000
20,30.000000,18.000000,7129281.967942,300962.000000
