Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
28,4.073000,262144.000000,463540.629896,256494.000000
28,4.639000,32768.000000,264734.020409,181084.000000
28,5.649000,4096.000000,623056.793860,282947.000000
28,7.918000,512.000000,1383409.666661,291906.000000
28,16.772000,64.000000,3117503.878822,289763.000000
28,30.000000,6.000000,3998690.513511,298216.000000
28,30.000000,9.000000,3413837.928544,300414.000000
28,30.000000,12.000000,3353109.825472,296035.000000
28,30.000000,15.000000,3064036.353912,306053.000000
28,30.000000,18.000000,3516344.554872,299854.000000
