Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
24,4.073000,262144.000000,452247.332221,262408.000000
24,4.639000,32768.000000,423071.400313,186586.000000
24,5.649000,4096.000000,1008523.942936,264300.000000
24,7.918000,512.000000,2125388.064687,287983.000000
24,16.772000,64.000000,5701189.634418,291962.000000
24,30.000000,6.000000,6643656.149238,302016.000000
24,30.000000,9.000000,6241069.436831,298698.000000
24,30.000000,12.000000,5547131.264671,293872.000000
24,30.000000,15.000000,5757344.929149,304385.000000
24,30.000000,18.000000,5604397.850137,303985.000000
