Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
28,4.073000,262144.000000,221187.750296,192310.000000
28,4.639000,32768.000000,373025.596642,251574.000000
28,5.649000,4096.000000,409790.946107,196942.000000
28,7.918000,512.000000,1136234.596735,242154.000000
28,16.772000,64.000000,3037520.964530,300269.000000
28,30.000000,6.000000,4107106.978737,300397.000000
28,30.000000,9.000000,3764053.627774,298789.000000
28,30.000000,12.000000,3759434.893954,297543.000000
28,30.000000,15.000000,3470751.260735,300054.000000
28,30.000000,18.000000,3409705.937890,302651.000000
